lang_code,timeConsumedMillis,mem_kb,rating,time_per_rating,target
4,624,67800,3500.0,0.1782857142857143,1
4,108,100,2900.0,0.037241379310344824,1
4,46,0,2900.0,0.015862068965517243,0
4,46,0,2700.0,0.017037037037037038,0
4,296,3400,2100.0,0.14095238095238094,1
4,186,0,2100.0,0.08857142857142856,0
4,827,100,1500.0,0.5513333333333333,1
4,3374,100,3300.0,1.0224242424242425,1
4,4155,19800,3100.0,1.3403225806451613,1
4,265,0,3100.0,0.08548387096774193,0
4,312,9400,2200.0,0.14181818181818182,1
4,1406,23400,2500.0,0.5624,1
4,109,100,1800.0,0.06055555555555556,1
4,77,0,1300.0,0.05923076923076923,1
4,921,100,3500.0,0.2631428571428571,1
4,61,100,2400.0,0.025416666666666667,1
